,Date,Open,Low,Close,Volume,Stock_Name,Inv_Weight,Stocks_Bought,Stocks_Cost
0,1980-01-02,0.09353,0.09353,0.09353,813145,WMT,0.09947650032409178,25,2.3616325000000002
1,1980-01-02,0.27257,0.26459,0.26459,12665490,INTC,0.00370127128792469,0,0.0
2,1980-03-17,290.0,290.0,290.0,100,BRK-A,0.016370562700077067,0,0.0
3,1981-09-22,0.02585,0.02585,0.02585,8758085,HD,0.4144999709623989,355,9.2685175
4,1984-09-07,0.23344,0.23344,0.23344,4632005,AMAT,0.0023127160202009722,0,0.0
5,1984-09-07,0.08764,0.08764,0.08764,71324,AMGN,0.10294630537077243,14,1.2392296
6,1984-09-07,0.08705,0.08705,0.08705,651143,BEN,0.0,0,0.0
7,1984-09-07,0.5282,0.5282,0.5445,777449,CA,4.669873298870225e-05,0,0.0
8,1985-04-19,0.13783,0.13783,0.13783,16185594,BBY,0.004665627076580348,0,0.0
9,1986-03-13,0.0672,0.0672,0.07533,1371330506,MSFT,0.10393634658747504,15,1.01808
10,1988-03-02,0.17469,0.16542,0.17469,8785062,ORCL,0.009466974788018192,0,0.0
11,1989-06-30,0.20365,0.1944,0.20365,2230253,SCHW,0.002734838458470945,0,0.0
