,Date,Open,High,Low,Close,Volume,Stock_Name
0,2000-01-03,3.3577,3.6011,3.2554,3.5833,149424648,AAPL
1,2017-11-10,175.11,175.38,174.27,174.67,25130494,AAPL
2,2005-08-04,2.7,2.7,2.7,2.7,0,BIDU
3,2017-11-10,239.58,239.58,236.5,237.4,1720120,BIDU
4,2005-02-25,1.3719,1.4002,1.3719,1.3719,16646,EBIX
5,2017-11-10,73.5,74.8,73.2,74.5,190782,EBIX
6,2005-02-25,1.5271,1.5829,1.5214,1.57,29469293,NFLX
7,2017-11-10,191.61,192.59,189.5,192.02,6620920,NFLX
8,2000-01-03,3.6553,3.6836,3.4143,3.6184,2039681,NVDA
9,2017-11-10,213.08,218.67,211.63,216.14,31300857,NVDA
10,2005-02-25,22.6,22.7,22.21,22.25,313747,PCLN
11,2017-11-10,1700.0,1709.52,1682.69,1697.25,724827,PCLN
12,2005-02-25,6.43,6.53,6.33,6.47,149734,REGN
13,2017-11-10,405.45,405.745,398.37,404.54,770966,REGN
14,2005-02-25,0.02781,0.02781,0.02781,0.02781,7188,UVE
15,2017-11-10,25.25,25.45,24.95,25.25,256504,UVE
